,state,dessert,main course,snack,starter
0,Andhra Pradesh,8.0,0.0,2.0,0.0
1,Assam,6.0,15.0,0.0,0.0
2,Bihar,1.0,2.0,0.0,0.0
3,Chhattisgarh,0.0,0.0,1.0,0.0
4,Goa,2.0,1.0,0.0,0.0
5,Gujarat,6.0,12.0,17.0,0.0
6,Haryana,0.0,1.0,0.0,0.0
7,Jammu & Kashmir,1.0,1.0,0.0,0.0
8,Karnataka,2.0,4.0,0.0,0.0
9,Kerala,1.0,5.0,2.0,0.0
10,Madhya Pradesh,1.0,1.0,0.0,0.0
11,Maharashtra,12.0,12.0,6.0,0.0
12,Manipur,1.0,1.0,0.0,0.0
13,NCT of Delhi,0.0,1.0,0.0,0.0
14,Nagaland,0.0,1.0,0.0,0.0
15,Odisha,6.0,1.0,0.0,0.0
16,Other state,6.0,9.0,9.0,0.0
17,Punjab,2.0,28.0,0.0,2.0
18,Rajasthan,3.0,3.0,0.0,0.0
19,Tamil Nadu,2.0,17.0,1.0,0.0
20,Telangana,4.0,1.0,0.0,0.0
21,Tripura,0.0,1.0,0.0,0.0
22,Uttar Pradesh,5.0,3.0,1.0,0.0
23,Uttarakhand,1.0,0.0,0.0,0.0
24,West Bengal,15.0,9.0,0.0,0.0
