,state,bitter,other,sour,spicy,sweet
0,Andhra Pradesh,,,,2,8
1,Assam,,4,,11,6
2,Bihar,,,,2,1
3,Chhattisgarh,,,,1,
4,Goa,,,,1,2
5,Gujarat,2,3,1,23,6
6,Haryana,,,,1,
7,Jammu & Kashmir,,,,1,1
8,Karnataka,,1,,2,3
9,Kerala,,3,,4,1
10,Madhya Pradesh,,,,1,1
11,Maharashtra,,4,,14,12
12,Manipur,,1,,,1
13,NCT of Delhi,,,,1,
14,Nagaland,,,,1,
15,Odisha,,1,,,6
16,Other state,,4,,14,6
17,Punjab,2,2,,25,3
18,Rajasthan,,,,3,3
19,Tamil Nadu,,4,,14,2
20,Telangana,,,,1,4
21,Tripura,,,,1,
22,Uttar Pradesh,,,,4,5
23,Uttarakhand,,,,,1
24,West Bengal,,2,,6,16
