州,state,non vegetarian,vegetarian
安得拉邦,Andhra Pradesh,0,10
阿萨姆,Assam,10,11
比哈尔,Bihar,0,3
切蒂斯格尔,Chhattisgarh,0,1
果阿,Goa,1,2
古吉拉特,Gujarat,0,35
哈里亚纳,Haryana,0,1
查谟和克什米尔,Jammu & Kashmir,0,2
卡纳塔克,Karnataka,0,6
喀拉拉,Kerala,1,7
中央邦,Madhya Pradesh,0,2
马哈拉施特拉,Maharashtra,2,28
曼尼普尔,Manipur,1,1
德里,NCT of Delhi,1,0
那加兰,Nagaland,1,0
奥里萨邦,Odisha,0,7
其他州,Other state,0,24
旁遮普,Punjab,4,28
拉贾斯坦,Rajasthan,0,6
泰米尔纳德,Tamil Nadu,1,19
特伦甘地,Telangana,1,4
特里普拉,Tripura,1,0
北安恰尔,Uttar Pradesh,0,9
北方邦,Uttarakhand,0,1
西孟加拉,West Bengal,5,19
