州,state,dessert,main course,snack,starter
安得拉邦,Andhra Pradesh,8,0,2,0
阿萨姆,Assam,6,15,0,0
比哈尔,Bihar,1,2,0,0
切蒂斯格尔,Chhattisgarh,0,0,1,0
果阿,Goa,2,1,0,0
古吉拉特,Gujarat,6,12,17,0
哈里亚纳,Haryana,0,1,0,0
查谟和克什米尔,Jammu & Kashmir,1,1,0,0
卡纳塔克,Karnataka,2,4,0,0
喀拉拉,Kerala,1,5,2,0
中央邦,Madhya Pradesh,1,1,0,0
马哈拉施特拉,Maharashtra,12,12,6,0
曼尼普尔,Manipur,1,1,0,0
德里,NCT of Delhi,0,1,0,0
那加兰,Nagaland,0,1,0,0
奥里萨邦,Odisha,6,1,0,0
其他州,Other state,6,9,9,0
旁遮普,Punjab,2,28,0,2
拉贾斯坦,Rajasthan,3,3,0,0
泰米尔纳德,Tamil Nadu,2,17,1,0
特伦甘地,Telangana,4,1,0,0
特里普拉,Tripura,0,1,0,0
北安恰尔,Uttar Pradesh,5,3,1,0
北方邦,Uttarakhand,1,0,0,0
西孟加拉,West Bengal,15,9,0,0
